sta,chan,net,location,lat,lon,rate
ASBU,BHZ,CC,--,43.82,-121.37,50
CIHL,BHZ,CC,--,43.75,-121.15,50
CLBH,BHZ,CC,--,42.91,-122.14,50
CPCO,BHZ,CC,--,43.72,-121.23,50
HUSB,BHZ,CC,--,44.12,-121.85,50
JRO,BHZ,CC,--,46.28,-122.22,50
NORM,BHZ,CC,--,43.74,-121.25,50
OBSR,BHZ,CC,--,46.9,-121.82,50
PR01,BHZ,CC,--,46.91,-122.04,50
PR04,BHZ,CC,--,46.93,-121.99,50
PR05,BHZ,CC,--,46.84,-121.95,50
PRLK,BHZ,CC,--,44.21,-121.96,50
SHRK,BHZ,CC,--,45.46,-121.53,50
STD,BHZ,CC,--,46.24,-122.22,50
SWF2,BHZ,CC,--,46.18,-122.22,50
SWNB,BHZ,CC,--,43.67,-121.36,50
TCBU,BHZ,CC,--,44.24,-121.66,50
TMBU,BHZ,CC,--,43.6,-121.14,50
VALT,BHZ,CC,--,46.21,-122.19,50
WIFE,BHZ,CC,--,44.06,-121.82,50
COR,BHZ,IU,0,44.59,-123.3,20
BMO,BHZ,US,0,44.85,-117.31,40
HAWA,BHZ,US,0,46.39,-119.53,40
NEW,BHZ,US,0,48.26,-117.12,40
NLWA,BHZ,US,0,47.39,-123.87,40
WVOR,BHZ,US,0,42.43,-118.64,40
BRAN,BHZ,UW,--,45.97,-117.23,40
DAVN,BHZ,UW,--,47.8,-118.27,40
DOSE,BHZ,UW,--,47.72,-122.97,40
FORK,BHZ,UW,--,47.95,-124.57,40
GNW,BHZ,UW,--,47.56,-122.83,40
HEBO,BHZ,UW,--,45.21,-123.76,40
LON,BHZ,UW,--,46.75,-121.81,40
LRIV,BHZ,UW,--,48.06,-123.5,40
LTY,BHZ,UW,--,47.25,-120.67,40
OMAK,BHZ,UW,--,48.36,-119.33,40
RADR,BHZ,UW,--,46.42,-123.8,40
RATT,BHZ,UW,--,47.43,-121.8,40
SHUK,BHZ,UW,--,48.85,-121.68,50
SP2,BHZ,UW,--,47.56,-122.25,40
TOLT,BHZ,UW,--,47.69,-121.69,40
WISH,BHZ,UW,--,47.12,-123.77,40
BEER,HHZ,UO,--,44.11,-123.85,100
BUCK,HHZ,UO,--,44.2,-122.99,100
CAVE,HHZ,UO,--,42.12,-123.57,100
CHIL,HHZ,UO,--,42.62,-121.75,100
DBO,HHZ,UO,--,43.12,-123.24,100
DFAZ,HHZ,UO,--,43.24,-122.11,100
DING,HHZ,UO,--,42.86,-124.05,100
DRAN,HHZ,UO,--,43.7,-123.35,100
FHAC,HHZ,UO,--,44.34,-121.34,100
JESE,HHZ,UO,--,45.24,-121.32,100
LAIR,HHZ,UO,--,43.16,-123.93,100
MARQ,HHZ,UO,--,45.07,-122.67,100
MINN,HHZ,UO,--,45.21,-123.26,100
NATH,HHZ,UO,--,43.79,-122.41,100
PINE,HHZ,UO,--,43.79,-120.94,100
RAIN,HHZ,UO,--,46.08,-123.01,100
ROGE,HHZ,UO,--,42.7,-123.67,100
SISQ,HHZ,UO,--,42.28,-123.63,100
TOOM,HHZ,UO,--,43.28,-121.23,100
VERN,HHZ,UO,--,45.85,-123.25,100
WLOO,HHZ,UO,--,44.52,-122.74,100
WOOD,HHZ,UO,--,42.22,-122.3,100
BABR,HHZ,UW,--,44.62,-123.79,100
BBO,HHZ,UW,--,42.89,-122.68,100
BERY,HHZ,UW,--,48.26,-122.1,100
BLOW,HHZ,UW,--,44.68,-122.19,100
CCRK,HHZ,UW,--,46.56,-119.85,100
DDRF,HHZ,UW,--,46.49,-119.06,100
EPH2,HHZ,UW,--,47.37,-119.61,100
FISH,HHZ,UW,--,45.93,-123.56,100
FMW,HHZ,UW,--,46.94,-121.67,100
GBB,HHZ,UW,--,46.61,-119.63,100
H2O,HHZ,UW,--,46.4,-119.42,100
HOOD,HHZ,UW,--,45.32,-121.65,100
IRON,HHZ,UW,--,43.36,-118.47,100
IZEE,HHZ,UW,--,44.08,-119.5,100
JEDS,HHZ,UW,--,43.75,-124.05,100
KENT,HHZ,UW,--,45.24,-120.64,100
KREP,HHZ,UW,--,45.89,-121.46,100
LCCR,HHZ,UW,--,45.21,-122.48,100
LEBA,HHZ,UW,--,46.55,-123.56,100
LNO,HHZ,UW,--,45.87,-118.29,100
LUMI,HHZ,UW,--,48.72,-122.71,100
MANO,HHZ,UW,--,46.95,-120.72,100
MDW,HHZ,UW,--,46.61,-119.76,100
MOX,HHZ,UW,--,46.58,-120.3,100
MRBL,HHZ,UW,--,48.52,-121.48,100
OT3,HHZ,UW,--,46.67,-119.23,100
PASS,HHZ,UW,--,49,-122.09,100
PHIN,HHZ,UW,--,45.9,-119.93,100
PRO,HHZ,UW,--,46.21,-119.69,100
RCM,HHZ,UW,--,46.84,-121.73,100
SNI2,HHZ,UW,--,46.46,-119.66,100
STOR,HHZ,UW,--,47.19,-121.99,100
TREE,HHZ,UW,--,42.73,-120.89,100
TUCA,HHZ,UW,--,46.51,-118.15,100
UMAT,HHZ,UW,--,45.29,-118.96,100
WA2,HHZ,UW,--,46.76,-119.57,100
WAT2,HHZ,UW,--,47.62,-120.11,100
WOLL,HHZ,UW,--,47.06,-118.92,100
YACT,HHZ,UW,--,45.93,-122.42,100
YPT,HHZ,UW,--,46.05,-118.96,100
