sta,chan,net,location,lat,lon,rate
BEER,ENZ,UO,--,44.11,-123.85,100
BUCK,ENZ,UO,--,44.2,-122.99,100
CAVE,ENZ,UO,--,42.12,-123.57,100
CHIL,ENZ,UO,--,42.62,-121.75,100
DBO,ENZ,UO,--,43.12,-123.24,100
DFAZ,ENZ,UO,--,43.24,-122.11,100
DING,ENZ,UO,--,42.86,-124.05,100
DRAN,ENZ,UO,--,43.7,-123.35,100
FHAC,ENZ,UO,--,44.34,-121.34,100
JESE,ENZ,UO,--,45.24,-121.32,100
LAIR,ENZ,UO,--,43.16,-123.93,100
MARQ,ENZ,UO,--,45.07,-122.67,100
MINN,ENZ,UO,--,45.21,-123.26,100
NATH,ENZ,UO,--,43.79,-122.41,100
PINE,ENZ,UO,--,43.79,-120.94,100
RAIN,ENZ,UO,--,46.08,-123.01,100
ROGE,ENZ,UO,--,42.7,-123.67,100
SISQ,ENZ,UO,--,42.28,-123.63,100
TOOM,ENZ,UO,--,43.28,-121.23,100
VERN,ENZ,UO,--,45.85,-123.25,100
WLOO,ENZ,UO,--,44.52,-122.74,100
WOOD,ENZ,UO,--,42.22,-122.3,100
ALCT,ENZ,UW,--,47.65,-122.04,100
ALST,ENZ,UW,--,46.11,-123.03,100
ALVY,ENZ,UW,--,44,-123.02,100
BABE,ENZ,UW,--,47.61,-122.54,100
BABR,ENZ,UW,--,44.62,-123.79,100
BBO,ENZ,UW,--,42.89,-122.68,100
BEND,ENZ,UW,--,44.07,-121.33,100
BERY,ENZ,UW,--,48.26,-122.1,100
BEVT,ENZ,UW,--,47.93,-122.28,100
BLOW,ENZ,UW,--,44.68,-122.19,100
BOW2,ENZ,UW,--,46.48,-123.23,100
BRKS,ENZ,UW,--,47.76,-122.29,100
BSFP,ENZ,UW,--,47.53,-122.31,100
BURN,ENZ,UW,--,43.57,-119.13,100
CCRK,ENZ,UW,--,46.56,-119.85,100
CDMR,ENZ,UW,--,47.42,-121.76,100
COLT,ENZ,UW,--,45.17,-122.44,100
CPW,ENZ,UW,--,46.97,-123.14,100
DDRF,ENZ,UW,--,46.49,-119.06,100
DOSE,ENZ,UW,--,47.72,-122.97,100
EARN,ENZ,UW,--,47.74,-122.04,100
EGRN,ENZ,UW,--,47.07,-122.97,100
ELW,ENZ,UW,--,47.49,-121.87,100
EPH2,ENZ,UW,--,47.37,-119.61,100
EVGW,ENZ,UW,--,47.85,-122.15,100
EYES,ENZ,UW,--,45.33,-123.06,100
FISH,ENZ,UW,--,45.93,-123.56,100
FORK,ENZ,UW,--,47.95,-124.57,100
GBB,ENZ,UW,--,46.61,-119.63,100
GHW,ENZ,UW,--,47.04,-122.27,100
GLDO,ENZ,UW,--,45.84,-120.81,100
GMO,ENZ,UW,--,44.44,-120.96,100
GMW,ENZ,UW,--,47.55,-122.79,100
GNW,ENZ,UW,--,47.56,-122.83,100
GRUT,ENZ,UW,--,46.55,-119.51,100
GSM,ENZ,UW,--,47.2,-121.8,100
