sta,chan,net,location,lat,lon,rate
1122 alt,HHZ,UO,—,45.52282,-123.65255,200
1135 alt,HHZ,UO,—,46.01616,-123.02804,200
1290 alt,HHZ,UO,—,45.19939,-123.5612,200
ALSE/DUCK12,HHZ,UO,—,44.381926,-123.59064,200
DUCK07,HHZ,UO,—,43.140105,-123.42946,200
DUCK10,HHZ,UO,—,43.034062,-118.92847,200
DUCK11,HHZ,UO,—,45.629327,-123.643757,200
DUCK17,HHZ,UO,—,45.2155,-118.0016,200
OTLW/DUCK19/1154 alt,HHZ,UO,—,44.29675,-121.57446,200
SWTH?/1213 alt,HHZ,UO,—,42.5597,-124.1945,200
BRO,HHZ,UW,—,44.26721,-122.45316,200
MCLD,HHZ,UW,—,42.72714,-122.60964,200
SSO,HHZ,UW,—,44.85584,-122.46169,200
CINE/E04D,HHZ,UW,—,46.5566,-122.5673,200
DOWN/P436,HHZ,UW,—,48.045303,-123.134348,200
HOPR/C06D,HHZ,UW,—,47.9229,-120.8943,200
OLQN/1197/P400,HHZ,UW,—,47.5134,-123.8123,200
TKEY/D04E,HHZ,UW,—,47.17863,-122.77134,200
TOLE/1233/P425,HHZ,UW,—,46.45269,-122.8454,200
WHGC/1220/P415,HHZ,UW,—,46.65599,-123.72987,200
1006,HHZ,UW,—,46.7874,-123.793,200
1011,HHZ,UW,—,47.861,-123.935,200
1028,HHZ,UW,—,47.2357,-123.702,200
1067,HHZ,UW,—,48.173,-122.604,200
1098,HHZ,UW,—,48.71644,-122.20455,200
1100,HHZ,UW,—,46.371,-123.044,200
1200,HHZ,UW,—,46.779,-122.916,200
1201,HHZ,UW,—,48.522,-121.991,200
1202,HHZ,UW,—,48.011,-122.776,200
1203,HHZ,UW,—,46.7755,-123.4851,200
1204,HHZ,UW,—,46.711,-123.996,200
1207,HHZ,UW,—,47.055,-123.264,200
1227,HHZ,UW,—,47.08918,-123.93269,200
1247,HHZ,UW,—,47.258,-123.003,200
1264,HHZ,UW,—,48.994,-122.26,200
1278,HHZ,UW,—,47.96882,-123.86336,200
MEW,HHZ,UW,—,47.20176,-122.64707,200
WYNO/1217/P399,HHZ,UW,—,47.434,-123.613,200
RER,HHZ,UW,—,46.81905,-121.84213,200
BEN,HHZ,UW,—,46.51863,-119.71863,200
BRV,HHZ,UW,—,46.48519,-119.99232,200
BVW,HHZ,UW,—,46.81083,-119.88349,200
CRF,HHZ,UW,—,46.82486,-119.38813,200
FHE,HHZ,UW,—,46.95178,-119.49809,200
LOC,HHZ,UW,—,46.71686,-119.43197,200
NAC,HHZ,UW,—,46.73301,-120.82485,200
OD2,HHZ,UW,—,47.38754,-118.71077,200
TRW,HHZ,UW,—,46.29207,-120.54312,200
VT2,HHZ,UW,—,46.96719,-120.00033,200
1027,HHZ,UW,—,46.8582,-123.559,200
1199,HHZ,UW,—,46.282,-122.916,200
1205,HHZ,UW,—,46.378,-120.731,200
1206,HHZ,UW,—,48.308,-120.656,200
1277A,HHZ,UW,—,47.516,-123.328,200
ASR,HHZ,UW,—,46.15259,-121.60164,200
GLK,HHZ,UW,—,46.5575,-121.61073,200
WPW,HHZ,UW,—,46.69864,-121.53734,200
ET4,HHZ,UW,—,46.56342,-118.94511,200
SOS,HHZ,UW,—,46.24386,-122.13787,200
