net,sta,chan,location,lat,lon,rate
AZ,BZN,HHZ,--,33.49,-116.67,100
AZ,BZN,HNZ,--,33.49,-116.67,100
AZ,CPE,HHZ,--,32.89,-117.11,100
AZ,CPE,HNZ,--,32.89,-117.11,100
AZ,CRY,HHZ,--,33.57,-116.74,100
AZ,CRY,HNZ,--,33.57,-116.74,100
AZ,FRD,HHZ,--,33.49,-116.6,100
AZ,FRD,HNZ,--,33.49,-116.6,100
AZ,KNW,HHZ,--,33.71,-116.71,100
AZ,KNW,HNZ,--,33.71,-116.71,100
AZ,LVA2,HHZ,--,33.35,-116.56,100
AZ,LVA2,HNZ,--,33.35,-116.56,100
AZ,MONP2,HHZ,--,32.89,-116.42,100
AZ,MONP2,HNZ,--,32.89,-116.42,100
AZ,MTRP,HNZ,--,32.82,-117.06,100
AZ,PFO,HHZ,--,33.61,-116.46,100
AZ,PFO,HNZ,--,33.61,-116.46,100
AZ,RDM,HHZ,--,33.63,-116.85,100
AZ,RDM,HNZ,--,33.63,-116.85,100
AZ,SCI2,HNZ,--,32.92,-118.49,200
AZ,SMER,HHZ,--,33.46,-117.17,100
AZ,SND,HHZ,--,33.55,-116.61,100
AZ,SND,HNZ,--,33.55,-116.61,100
AZ,TRO,HHZ,--,33.52,-116.43,100
AZ,TRO,HNZ,--,33.52,-116.43,100
BC,CBX,HHZ,--,32.31,-116.66,100
BC,CCX,HHZ,--,31.87,-116.66,100
BC,CCX,HNZ,--,31.87,-116.66,100
BC,CPX,HHZ,--,32.42,-115.31,100
BC,CPX,HNZ,--,32.42,-115.31,100
BC,GUVIX,HHZ,--,32.3,-115.08,100
BC,GUVIX,HNZ,--,32.3,-115.08,100
BC,PIX,HHZ,--,31.56,-113.46,100
BC,PIX,HNZ,--,31.56,-113.46,100
BC,RMX,HHZ,--,32.55,-116.03,100
BC,RMX,HNZ,--,32.55,-116.03,100
BC,SFX,HHZ,--,31.04,-114.85,100
BC,SFX,HNZ,--,31.04,-114.85,100
BC,SJX,HHZ,--,32,-115.95,100
BC,SJX,HNZ,--,32,-115.95,100
BC,TJX,HHZ,--,32.51,-117.05,100
BC,TJX,HNZ,--,32.51,-117.05,100
BC,TKX,HHZ,--,32.57,-116.61,100
BC,TKX,HNZ,--,32.57,-116.61,100
BC,UABX,HHZ,--,32.63,-115.44,100
BC,UABX,HNZ,--,32.63,-115.44,100
BK,BDM,BHZ,0,37.95,-121.87,40
BK,BDM,HHZ,0,37.95,-121.87,100
BK,BDM,HNZ,0,37.95,-121.87,100
BK,BKS,BHZ,0,37.88,-122.24,40
BK,BKS,HHZ,0,37.88,-122.24,100
BK,BKS,HNZ,0,37.88,-122.24,100
BK,BL67,BHZ,0,37.87,-122.24,40
BK,BL67,HHZ,0,37.87,-122.24,100
BK,BL67,HNZ,0,37.87,-122.24,100
BK,BL88,HNZ,0,37.88,-122.25,100
BK,BRK,BHZ,0,37.87,-122.26,40
BK,BRK,HHZ,0,37.87,-122.26,100
BK,BRK,HNZ,0,37.87,-122.26,100
BK,CMB,BHZ,0,38.03,-120.39,40
BK,CMB,HHZ,0,38.03,-120.39,100
BK,CMB,HNZ,0,38.03,-120.39,100
BK,CMSB,HNZ,0,37.87,-122.25,100
BK,CVS,BHZ,0,38.35,-122.46,40
BK,CVS,HHZ,0,38.35,-122.46,100
BK,CVS,HNZ,0,38.35,-122.46,100
BK,DANT,BHZ,0,40.29,-121.8,40
BK,DANT,HHZ,0,40.29,-121.8,100
BK,DANT,HNZ,0,40.29,-121.8,100
BK,DCMP,BHZ,0,39.47,-123.34,40
BK,DCMP,HHZ,0,39.47,-123.34,100
BK,DCMP,HNZ,0,39.47,-123.34,100
BK,FARB,BHZ,0,37.7,-123,40
BK,FARB,HHZ,0,37.7,-123,100
BK,FARB,HNZ,0,37.7,-123,100
BK,GASB,BHZ,0,39.65,-122.72,40
BK,GASB,HHZ,0,39.65,-122.72,100
BK,GASB,HNZ,0,39.65,-122.72,100
BK,HAST,BHZ,0,36.39,-121.55,40
BK,HAST,HHZ,0,36.39,-121.55,100
BK,HAST,HNZ,0,36.39,-121.55,100
BK,HATC,BHZ,0,40.82,-121.46,40
BK,HATC,HHZ,0,40.82,-121.46,100
BK,HATC,HNZ,0,40.82,-121.46,100
BK,HELL,BHZ,0,36.68,-119.02,40
BK,HELL,HHZ,0,36.68,-119.02,100
BK,HELL,HNZ,0,36.68,-119.02,100
BK,HOPS,BHZ,0,38.99,-123.07,40
BK,HOPS,HHZ,0,38.99,-123.07,100
BK,HOPS,HNZ,0,38.99,-123.07,100
BK,HULI,BHZ,0,36.02,-121.24,40
BK,HULI,HHZ,0,36.02,-121.24,100
BK,HULI,HNZ,0,36.02,-121.24,100
BK,HUMO,BHZ,0,42.61,-122.96,40
BK,HUMO,HHZ,0,42.61,-122.96,100
BK,HUMO,HNZ,0,42.61,-122.96,100
BK,JCC,BHZ,0,40.82,-124.03,40
BK,JCC,HHZ,0,40.82,-124.03,100
BK,JCC,HNZ,0,40.82,-124.03,100
BK,JRSC,BHZ,0,37.4,-122.24,40
BK,JRSC,HHZ,0,37.4,-122.24,100
BK,JRSC,HNZ,0,37.4,-122.24,100
BK,KCC,BHZ,0,37.32,-119.32,40
BK,KCC,HHZ,0,37.32,-119.32,100
BK,KCC,HNZ,0,37.32,-119.32,100
BK,MCCM,BHZ,0,38.14,-122.88,40
BK,MCCM,HHZ,0,38.14,-122.88,100
BK,MCCM,HNZ,0,38.14,-122.88,100
BK,MHC,BHZ,0,37.34,-121.64,40
BK,MHC,HHZ,0,37.34,-121.64,100
BK,MHC,HNZ,0,37.34,-121.64,100
BK,MNRC,BHZ,0,38.88,-122.44,40
BK,MNRC,HHZ,0,38.88,-122.44,100
BK,MNRC,HNZ,0,38.88,-122.44,100
BK,MOD,BHZ,0,41.9,-120.3,40
BK,MOD,HHZ,0,41.9,-120.3,100
BK,MOD,HNZ,0,41.9,-120.3,100
BK,MTOS,BHZ,0,37.5,-121.33,40
BK,MTOS,HHZ,0,37.5,-121.33,100
BK,MTOS,HNZ,0,37.5,-121.33,100
BK,ORV,BHZ,0,39.55,-121.5,40
