sta,chan,net,loction,lat,lon,rate
BZN,HHZ,AZ,--,33.49,-116.67,100
CPE,HHZ,AZ,--,32.89,-117.11,100
CRY,HHZ,AZ,--,33.57,-116.74,100
FRD,HHZ,AZ,--,33.49,-116.6,100
KNW,HHZ,AZ,--,33.71,-116.71,100
LVA2,HHZ,AZ,--,33.35,-116.56,100
MONP2,HHZ,AZ,--,32.89,-116.42,100
MTRP,HNZ,AZ,--,32.82,-117.06,100
PFO,HHZ,AZ,--,33.61,-116.46,100
RDM,HHZ,AZ,--,33.63,-116.85,100
SCI2,HNZ,AZ,--,32.92,-118.49,200
SMER,HHZ,AZ,--,33.46,-117.17,100
SND,HHZ,AZ,--,33.55,-116.61,100
TRO,HHZ,AZ,--,33.52,-116.43,100
CBX,HHZ,BC,--,32.31,-116.66,100
CCX,HHZ,BC,--,31.87,-116.66,100
CPX,HHZ,BC,--,32.42,-115.31,100
GUVIX,HHZ,BC,--,32.3,-115.08,100
PIX,HHZ,BC,--,31.56,-113.46,100
RMX,HHZ,BC,--,32.55,-116.03,100
SFX,HHZ,BC,--,31.04,-114.85,100
SJX,HHZ,BC,--,32,-115.95,100
TJX,HHZ,BC,--,32.51,-117.05,100
TKX,HHZ,BC,--,32.57,-116.61,100
UABX,HHZ,BC,--,32.63,-115.44,100
BDM,BHZ,BK,0,37.95,-121.87,40
BKS,BHZ,BK,0,37.88,-122.24,40
BL67,BHZ,BK,0,37.87,-122.24,40
BL88,HNZ,BK,0,37.88,-122.25,100
BRK,BHZ,BK,0,37.87,-122.26,40
CMB,BHZ,BK,0,38.03,-120.39,40
CMSB,HNZ,BK,0,37.87,-122.25,100
CVS,BHZ,BK,0,38.35,-122.46,40
DANT,BHZ,BK,0,40.29,-121.8,40
DCMP,BHZ,BK,0,39.47,-123.34,40
FARB,BHZ,BK,0,37.7,-123,40
GASB,BHZ,BK,0,39.65,-122.72,40
HAST,BHZ,BK,0,36.39,-121.55,40
HATC,BHZ,BK,0,40.82,-121.46,40
HELL,BHZ,BK,0,36.68,-119.02,40
HOPS,BHZ,BK,0,38.99,-123.07,40
HULI,BHZ,BK,0,36.02,-121.24,40
HUMO,BHZ,BK,0,42.61,-122.96,40
JCC,BHZ,BK,0,40.82,-124.03,40
JRSC,BHZ,BK,0,37.4,-122.24,40
KCC,BHZ,BK,0,37.32,-119.32,40
MCCM,BHZ,BK,0,38.14,-122.88,40
MHC,BHZ,BK,0,37.34,-121.64,40
MNRC,BHZ,BK,0,38.88,-122.44,40
MOD,BHZ,BK,0,41.9,-120.3,40
MTOS,BHZ,BK,0,37.5,-121.33,40
ORV,BHZ,BK,0,39.55,-121.5,40
PACP,BHZ,BK,0,37.01,-121.29,40
PETY,BHZ,BK,0,40.18,-122.79,40
PKD,BHZ,BK,0,35.95,-120.54,40
RAMR,BHZ,BK,0,35.64,-120.87,40
RFSB,HNZ,BK,0,37.92,-122.34,100
SAO,BHZ,BK,0,36.76,-121.45,40
SCCB,HNZ,BK,0,37.29,-121.86,100
SCOT,BHZ,BK,0,41.39,-122.85,40
SCZ,BHZ,BK,0,36.6,-121.4,40
SHEP,BHZ,BK,0,41.78,-121.84,40
SUTB,BHZ,BK,0,39.23,-121.79,40
TCAS,HNZ,BK,0,35.61,-120.56,200
TCHL,BHZ,BK,0,35.69,-120.4,40
THIS,BHZ,BK,0,35.72,-120.23,40
TRAM,BHZ,BK,0,35.68,-120.27,40
TRAY,HNZ,BK,0,35.55,-120.13,200
TRIN,BHZ,BK,0,40.97,-122.71,40
TSCN,BHZ,BK,0,35.54,-120.35,40
TSCS,HNZ,BK,0,35.44,-120.35,200
VAK,BHZ,BK,0,37.88,-122.25,40
WDC,BHZ,BK,0,40.58,-122.54,40
WENL,BHZ,BK,0,37.62,-121.76,40
YBH,BHZ,BK,50,41.73,-122.71,40
ASBU,BHZ,CC,--,43.82,-121.37,50
CIHL,BHZ,CC,--,43.75,-121.15,50
CLBH,BHZ,CC,--,42.91,-122.14,50
CPCO,BHZ,CC,--,43.72,-121.23,50
JRO,BHZ,CC,--,46.28,-122.22,50
NORM,BHZ,CC,--,43.74,-121.25,50
OBSR,BHZ,CC,--,46.9,-121.82,50
PR01,BHZ,CC,--,46.91,-122.04,50
PR02,BHZ,CC,--,46.92,-122.05,50
PR03,BHZ,CC,--,46.9,-122.03,50
PR04,BHZ,CC,--,46.93,-121.99,50
PR05,BHZ,CC,--,46.84,-121.95,50
PRLK,BHZ,CC,--,44.21,-121.96,50
SHRK,BHZ,CC,--,45.46,-121.53,50
STD,BHZ,CC,--,46.24,-122.22,50
SWF2,BHZ,CC,--,46.18,-122.22,50
SWNB,BHZ,CC,--,43.67,-121.36,50
TCBU,BHZ,CC,--,44.24,-121.66,50
TMBU,BHZ,CC,--,43.6,-121.14,50
VALT,BHZ,CC,--,46.21,-122.19,50
WIFE,BHZ,CC,--,44.06,-121.82,50
2143,HNZ,CE,10,32.84,-116.97,100
