sta,net,chan,location,lat,lon,rate
1001,HHZ,UW,--,46.349,-124.051,100
1002,HHZ,UW,--,46.492,-124.049,100
1003,HHZ,UW,--,46.771,-124.081,100
1005,HHZ,UW,--,47.114,-124.166,100
1006,HHZ,UW,--,46.7874,-123.793,100
1007,HHZ,UW,--,47.2056,-123.959,100
1008,HHZ,UW,--,47.36,-123.994,100
1010,HHZ,UW,--,47.8195,-124.49,100
1011,HHZ,UW,--,47.861,-123.935,100
1012,HHZ,UW,--,47.948,-124.383,100
1014,HHZ,UW,--,48.153,-124.669,100
1015,HHZ,UW,--,48.266,-124.334,100
1016,HHZ,UW,--,48.1572,-124.109,100
1017,HHZ,UW,--,48.1169,-123.88,100
1018,HHZ,UW,--,48.1566,-124.458,100
1020,HHZ,UW,--,46.3656,-123.579,100
1022,HHZ,UW,--,45.737,-122.493,100
1025,HHZ,UW,--,46.971,-123.701,100
1026,HHZ,UW,--,47.04,-123.51,100
1027,HHZ,UW,--,46.8582,-123.559,100
1028,HHZ,UW,--,47.2357,-123.702,100
1029,HHZ,UW,--,47.282,-123.441,100
1030,HHZ,UW,--,47.134,-123.311,100
1032,HHZ,UW,--,47.603,-124.37,100
1034,HHZ,UW,--,48.112,-122.792,100
1035,HHZ,UW,--,47.948,-123.258,100
1036,HHZ,UW,--,47.921,-122.7,100
1038,HHZ,UW,--,47.8964,-122.931,100
1039,HHZ,UW,--,47.645,-122.718,100
1040,HHZ,UW,--,47.439,-122.648,100
1041,HHZ,UW,--,47.498,-122.62,100
1044,HHZ,UW,--,47.331,-122.606,100
1045,HHZ,UW,--,47.37,-122.765,100
1046,HHZ,UW,--,47.322,-122.919,100
1047,HHZ,UW,--,47.446,-122.346,100
1048,HHZ,UW,--,47.334,-122.318,100
1050,HHZ,UW,--,47.181,-122.405,100
1051,HHZ,UW,--,47.153,-122.567,100
1052,HHZ,UW,--,47.092,-122.43,100
1053,HHZ,UW,--,47.002,-122.542,100
1054,HHZ,UW,--,47.101,-122.649,100
1055,HHZ,UW,--,47.087,-122.757,100
