net,sta,chan,location,lat,lon,rate
AZ,RDM,none,none,33.63,-116.848,
AZ,SCI2,none,none,32.915,-118.488,
AZ,SMER,none,none,33.458,-117.171,
AZ,SND,none,none,33.552,-116.613,
AZ,TRO,none,none,33.523,-116.426,
BC,CBX,none,none,32.3131,-116.6636,
BC,CCX,none,none,31.86789,-116.66446,
BC,CPX,none,none,32.4195,-115.305,
BC,GUVIX,none,none,32.3029,-115.076,
BC,PIX,none,none,31.5629,-113.4599,
BC,RMX,none,none,32.5535,-116.0288,
BC,SFX,none,none,31.0376,-114.851,
BC,SJX,none,none,32.0048,-115.948,
BC,TJX,none,none,32.51017,-117.0543,
BC,TKX,none,none,32.5687,-116.6075,
BC,UABX,none,none,32.6316,-115.4447,
NC,MCB,none,none,37.64439,-118.89683,
NC,MCY,none,none,37.64293,-119.02914,
NC,MINS,none,none,37.65377,-119.06093,
NC,MLI,none,none,37.63676,-119.01791,
NC,MMLB,none,none,37.65909,-118.97907,
CI,ALP,none,none,34.687,-118.299,
CI,LBW1,none,none,33.798,-118.088,
CI,LBW2,none,none,33.798,-118.088,
CI,RINB,none,none,34.282,-118.479,
CI,RSB,none,none,33.973,-117.327,
BK,BDM,none,none,37.954,-121.866,
BK,BKS,none,none,37.876,-122.236,
BK,BL67,none,none,37.875,-122.243,
BK,BL88,none,none,37.877,-122.254,
BK,BRK,none,none,37.874,-122.261,
BK,CMB,none,none,38.035,-120.387,
BK,CVS,none,none,38.345,-122.458,
BK,FARB,none,none,37.698,-123.001,
BK,GASB,none,none,39.655,-122.716,
BK,HAST,none,none,36.389,-121.551,
BK,HATC,none,none,40.816,-121.461,
BK,HOPS,none,none,38.993,-123.072,
BK,JCC,none,none,40.818,-124.03,
BK,JRSC,none,none,37.404,-122.239,
BK,KCC,none,none,37.324,-119.319,
BK,MCCM,none,none,38.145,-122.88,
BK,MHC,none,none,37.342,-121.643,
BK,MNRC,none,none,38.879,-122.443,
BK,MOD,none,none,41.903,-120.303,
BK,ORV,none,none,39.554,-121.5,
BK,PACP,none,none,37.008,-121.287,
BK,PKD,none,none,35.945,-120.542,
BK,RAMR,none,none,35.636,-120.87,
BK,RFSB,none,none,37.916,-122.336,
BK,SAO,none,none,36.764,-121.447,
BK,SCCB,none,none,37.287,-121.864,
BK,SCZ,none,none,36.598,-121.403,
BK,SUTB,none,none,39.229,-121.786,
BK,TCHL,none,none,35.688,-120.401,
BK,THIS,none,none,35.724,-120.228,
BK,TRAM,none,none,35.677,-120.271,
BK,TSCN,none,none,35.544,-120.348,
BK,VAK,none,none,37.877,-122.249,
BK,WENL,none,none,37.622,-121.757,
BK,YBH,none,none,41.732,-122.71,
NC,AFD,none,none,38.94596,-120.96897,
NC,BBGB,none,none,36.57848,-121.03957,
NC,BJOB,none,none,36.61087,-121.31467,
NC,CADB,none,none,37.16346,-121.62645,
NC,CAG,none,none,37.85727,-122.42266,
NC,CAL,none,none,37.45035,-121.80037,
NC,CBP,none,none,37.74766,-121.70843,
NC,CBR,none,none,37.81647,-122.06302,
NC,CCOB,none,none,37.25898,-121.67312,
NC,CDOB,none,none,37.7294,-121.83346,
NC,CHR,none,none,37.37288,-121.76887,
NC,CLCB,none,none,37.73786,-122.06486,
NC,CMC,none,none,37.7811,-122.1768,
NC,CMLP,none,none,37.44906,-121.83408,
NC,CMOB,none,none,37.81042,-121.80272,
NC,CMW,none,none,37.54053,-121.88734,
NC,CNI,none,none,37.60795,-121.96456,
NC,CPI,none,none,37.9889,-122.21561,
NC,CPM,none,none,37.94906,-122.40851,
NC,CRH,none,none,37.85884,-121.99264,
NC,CRPB,none,none,37.91233,-121.90716,
NC,CSL,none,none,37.72416,-122.11929,
NC,CSPB,none,none,37.95716,-122.3113,
NC,CTA,none,none,38.02691,-122.01599,
NC,CVL,none,none,37.62359,-121.83641,
NC,CYB,none,none,37.80787,-122.3618,
NC,CYD,none,none,37.56277,-122.09655,
NC,GAXB,none,none,38.71073,-122.75733,
NC,GCVB,none,none,38.76927,-123.01487,
NC,GDXB,none,none,38.80797,-122.7953,
NC,HMOB,none,none,36.59935,-121.91814,
NC,HTU,none,none,36.82682,-121.64349,
NC,JBG,none,none,37.34305,-122.33976,
NC,JBMB,none,none,37.31861,-122.15314,
NC,JBNB,none,none,37.12045,-122.1552,
NC,JBR,none,none,37.17217,-122.01121,
NC,JCH,none,none,37.51704,-122.3773,
NC,JECB,none,none,37.04922,-121.80724,
NC,JELB,none,none,36.92745,-121.82764,
NC,JFP,none,none,37.36045,-122.18986,
NC,JGR,none,none,37.51604,-122.45815,
NC,JHU,none,none,37.21427,-122.17168,
NC,JJO,none,none,37.20631,-121.97726,
NC,JLAB,none,none,37.15432,-121.73467,
NC,JMGB,none,none,37.63719,-122.47482,
NC,JPC,none,none,37.2708,-122.21276,
NC,JPR,none,none,37.79527,-122.47495,
NC,JPSB,none,none,37.19855,-122.34671,
NC,JSA,none,none,37.58225,-122.42006,
NC,JSB,none,none,37.67433,-122.39855,
NC,JSCB,none,none,37.28415,-122.12369,
NC,JSFB,none,none,37.40372,-122.17596,
NC,JSGB,none,none,37.28397,-122.05017,
NC,JSJ,none,none,37.33378,-122.09232,
NC,JSP,none,none,37.58644,-122.50217,
NC,KBO,none,none,42.21236,-124.22598,
NC,KCO,none,none,40.25675,-124.26598,
NC,KCPB,none,none,39.68631,-123.58242,
NC,KCT,none,none,40.47557,-124.33749,
NC,KEB,none,none,42.87221,-124.33425,
