net,sta,chan,location,lat,lon,rate
BK,NS0007,none,none,38.560553,-123.008859,
BK,BK.GALB,none,none,38.86198,-123.25641,
BK,BK.MNDO,none,none,39.314427,-123.743933,
BK,BK.BONV,none,none,38.98745,-123.34843,
BK,BK.BARR,none,none,39.304784,-123.1975,
BK,NS0015,none,none,39.1585,-123.5338,
BK,BK.INGL,none,none,39.52919,-123.69837,
BK,NS0024,none,none,40.07457,-123.55513,
BK,BK.RVIT,none,none,39.90616,-123.37837,
BK,NS0027,none,none,39.85118,-123.85386,
BK,NS0028,none,none,40.33435,-124.13537,
BK,BK.PETL,none,none,40.28819,-124.34251,
BK,NS0030,none,none,40.10415,-124.07548,
BK,BK.BRIC,none,none,40.11232,-123.89642,
BK,NS0033,none,none,40.30643,-123.97786,
BK,BK.BJES,none,none,40.5437,-123.88018,
BK,BK.DMOR,none,none,40.70952,-123.70341,
BK,NS0041,none,none,41.39385,-123.76337,
BK,NS0042,none,none,41.705342,-124.04107,
BK,BK.SIGP,none,none,41.87284,-124.06762,
BK,BK.FORD,none,none,36.68791,-121.78043,
BK,BK.LAND,none,none,36.05881,-121.58775,
BK,BK.WUNP,none,none,35.93326,-120.90684,
BK,NS0053,none,none,41.91767,-123.65075,
BK,NS0057,none,none,40.34671,-123.54878,
BK,NS0058,none,none,40.15318,-123.13447,
BK,NS0059,none,none,39.71851,-123.14183,
BK,NS0062,none,none,39.3117,-122.60333,
BK,NS0063,none,none,38.96018,-122.25021,
BK,NS0072,none,none,36.79066,-120.99969,
BK,NS0074,none,none,36.41412,-120.97909,
BK,BK.BABI,none,none,36.51592,-120.85303,
BK,NS0077,none,none,36.4133,-120.58829,
BK,NS0078,none,none,36.15235,-120.22841,
BK,BK.LCUV,none,none,35.652,-120.73217,
BK,BK.TULE,none,none,41.96256,-121.46735,
BK,NS0083,none,none,41.55154,-122.04031,
BK,NS0086,none,none,41.32799,-121.63556,
BK,NS0089,none,none,40.39662,-121.42311,
BK,BK.YUBA,none,none,39.33751,-120.53722,
BK,NS0099,none,none,38.36572,-120.3458,
BK,NS0101,none,none,38.17724,-119.95585,
BK,NS0104,none,none,37.78386,-118.90167,
BK,NS0108,none,none,35.9279,-120.15488,
BK,NS0112,none,none,36.91911,-119.08256,
BK,NS0114,none,none,37.2325,-118.28457,
BK,BK.MOGU,none,none,41.8304,-122.42002,
BK,NS0120,none,none,41.67215,-123.05708,
BK,NS0121,none,none,41.77165,-121.11163,
BK,NS0122,none,none,41.90396,-123.13627,
BK,NS0123,none,none,41.58397,-123.47601,
BK,NS0124,none,none,37.60919,-120.90163,
BK,BK.SFRE,none,none,39.25652,-121.32293,
BK,NS0133,none,none,40.91153,-120.44694,
BK,BK.LEGD,none,none,37.21437,-120.1492,
BK,BK.BCCR,none,none,39.82003,-121.73508,
BK,NS0139,none,none,40.88715,-123.33424,
BK,NS0141,none,none,41.07908,-123.0808,
BK,NS0142,none,none,41.10536,-122.53026,
BK,NS0143,none,none,41.11314,-122.00447,
BK,BK.KARE,none,none,36.59745,-119.50381,
BK,NS0148,none,none,40.84235,-121.04953,
BK,NS0150,none,none,40.99094,-120.8514,
BK,NS0152,none,none,40.66319,-122.14903,
BK,NS0153,none,none,38.43022,-121.10954,
BK,NS0154,none,none,36.01777,-119.54765,
BK,BK.WEAV,none,none,40.7456,-122.984,
BK,NS0160,none,none,40.45514,-122.85755,
BK,NS0164,none,none,41.60151,-120.72603,
BK,NS0165,none,none,39.64725,-122.0786,
BK,BK.WSRE,none,none,36.33897,-120.12143,
BK,NS0174,none,none,38.96294,-121.78241,
BK,NS0183,none,none,38.43852,-120.72414,
BK,NS0190,none,none,39.92843,-122.02636,
BK,BK.OAKV,none,none,38.4306,-122.4108,
BK,NS1022,none,none,38.75142,-122.33411,
BK,NS1031,none,none,37.07312,-122.00472,
BK,NS1039,none,none,36.46536,-121.8685,
BK,BK.JEPS,none,none,38.25792,-121.82633,
BK,BK.QRDG,none,none,38.48051,-122.14464,
BK,NS2002,none,none,38.0959,-121.6843,
BK,BK.PINL,none,none,38.010088,-122.366081,
BK,BK.BUCR,none,none,37.672721,-120.150443,
BK,NS2005,none,none,40.61695,-120.72725,
BK,BK.RUSS,none,none,38.54475,-121.86752,
BK,NS2007,none,none,39.38923,-120.89619,
BK,BK.WINE,none,none,36.67013,-119.90768,
BK,NS2013,none,none,41.4506,-121.146,
BK,NS2015,none,none,36.79293,-118.66373,
BK,BK.LIND,none,none,36.35308,-119.0567,
BK,NS2018,none,none,36.9602,-119.447,
BK,PETB,none,none,38.1189,-122.5011,
BK,UG0005,none,none,38.50892,-122.66337,
BK,UG0008,none,none,38.606,-123.19776,
